=== ПАРАМЕТРЫ ПРОГОНА ===
Дата прогона,2026-03-18T23:21:29
Капитал,1000000
Старт,2015
OOS год,2023
Макс позиций S1,2
Макс позиций S2,2
Комиссия %,0.06
Проскальзывание %,0.10
Ребалансировка,none

--- Сигнал ---
Мин объём (млн),100
Мин VR,3.6
Макс VR,10
Дней сигнала,1
ATR мин %,1.3
ATR окно,20
MA период,50
MA фильтр,above
Bull bar,да
CP мин %,0.55
Макс дн. доходность %,10
VR подтверждение,2
Gap отмена %,6
Vol окно,30

--- Выход ---
Стоп-лосс %,28
Див гэп %,3
ROT множитель,1.5
ROT абс %,0.5

--- Тиры ---
ULTRA minVR,7.1
ULTRA maxHold,10
ULTRA TS after,6
ULTRA TS dist %,1.8
STRONG minVR,5.1
STRONG maxHold,7
STRONG TS after,6
STRONG TS dist %,1.6

=== ИТОГИ ===
Всего сделок,486
Средняя доходность %,4.78
Медианная доходность %,1.98
Win rate %,70.4
Profit factor,8.15
Sharpe,2.79
Макс просадка %,29.30
Общая доходность %,37786190.44
CAGR %,0.00
Макс выигрыш %,108.22
Макс проигрыш %,-28.12
Ср. выигрыш %,7.74
Ср. проигрыш %,2.25
Макс серия побед,11
Макс серия потерь,7
Ср. удержание дней,5.8
Период,2015-01-05 — 2026-03-18

=== СДЕЛКИ ===
#,Ticker,Strategy,Tier,VR,ATR%,Signal,Entry,Exit,EntryPx,ExitPx,Return%,Held,Reason
117,WTCM,S2,ULTRA,8.79,9.52,2018-03-27,2018-03-28,2018-04-05,8.51,8.73,2.49,6,ts_extend
118,RKKE,S2,STRONG,5.40,4.63,2018-04-04,2018-04-05,2018-04-13,5829.31,6375.94,9.38,6,ts_extend
119,LSNG,S2,STRONG,5.33,3.62,2018-05-07,2018-05-08,2018-05-17,6.46,6.45,-0.01,6,ts_extend
120,MRKY,S2,ULTRA,9.53,4.55,2018-05-07,2018-05-08,2018-05-17,0.07,0.07,2.91,6,ts_extend
121,IRKT,S2,ULTRA,7.39,1.66,2018-05-22,2018-05-23,2018-05-31,14.67,15.49,5.57,6,ts_extend
122,MTLRP,S2,STRONG,5.78,1.73,2018-05-31,2018-06-01,2018-06-09,135.72,134.59,-0.83,6,ts_extend
123,SELG,S2,STRONG,7.06,1.34,2018-06-19,2018-06-20,2018-06-29,10.71,13.70,27.91,7,ts_extend
124,ROLO,S2,STRONG,6.38,3.33,2018-06-28,2018-06-29,2018-07-09,0.26,0.27,2.56,6,ts_extend
125,KRKNP,S2,STRONG,6.20,1.41,2018-07-09,2018-07-10,2018-07-18,11107.74,10954.05,-1.38,6,ts_extend
126,SLEN,S2,ULTRA,8.34,5.33,2018-07-18,2018-07-19,2018-07-27,4.82,5.36,11.32,6,ts_extend
127,ROST,S2,ULTRA,7.93,2.78,2018-08-31,2018-09-03,2018-09-11,67.31,72.16,7.21,6,ts_extend
128,DZRD,S2,ULTRA,7.44,2.35,2018-09-11,2018-09-12,2018-09-25,2333.73,2362.83,1.25,6,ts_extend
129,GCHE,S2,STRONG,6.35,2.63,2018-09-26,2018-09-27,2018-10-05,1171.87,1178.91,0.60,6,ts_extend
130,MAGE,S2,ULTRA,7.53,7.45,2018-10-12,2018-10-15,2018-10-23,2.29,2.34,2.16,6,ts_extend
131,RGSS,S2,ULTRA,7.75,5.08,2018-10-22,2018-10-23,2018-10-31,0.33,0.42,24.56,6,ts_extend
132,ZILL,S2,STRONG,5.22,2.55,2018-11-07,2018-11-08,2018-11-16,937.50,923.48,-1.50,6,ts_extend
133,GCHE,S2,STRONG,5.75,1.73,2018-11-15,2018-11-16,2018-11-26,1117.79,1098.14,-1.76,6,ts_extend
134,KROT,S2,ULTRA,8.85,3.11,2018-12-03,2018-12-04,2018-12-12,358.07,365.70,2.13,6,ts_extend
135,AKRN,S2,STRONG,6.77,1.79,2018-12-26,2018-12-27,2019-01-09,4623.39,4640.98,0.38,6,ts_extend
136,BLNG,S2,STRONG,5.13,1.85,2019-01-14,2019-01-15,2019-01-23,3.00,3.00,-0.28,6,ts_extend
137,AFKS,S1,STRONG,5.83,1.95,2019-01-21,2019-01-22,2019-01-30,9.57,9.57,-0.04,6,ts_extend
138,KOGK,S2,ULTRA,7.81,3.52,2019-01-30,2019-01-31,2019-02-08,525.84,588.26,11.87,6,ts_extend
139,RASP,S1,STRONG,5.75,1.90,2019-02-11,2019-02-12,2019-02-20,152.86,155.64,1.81,6,ts_extend
140,GCHE,S2,ULTRA,8.71,1.74,2019-02-14,2019-02-15,2019-02-25,1432.29,1556.92,8.70,6,ts_extend
141,YKEN,S2,ULTRA,7.74,3.03,2019-02-22,2019-02-25,2019-03-05,0.26,0.26,2.88,6,ts_extend
142,RTSBP,S2,ULTRA,7.69,4.34,2019-03-27,2019-03-28,2019-04-05,0.25,0.24,-1.71,6,ts_extend
143,IRKT,S2,ULTRA,8.94,2.43,2019-04-18,2019-04-19,2019-04-29,43.07,43.00,-0.16,6,ts_extend
144,MTLRP,S2,STRONG,6.27,1.56,2019-05-17,2019-05-20,2019-05-28,113.28,120.64,6.50,6,ts_extend
145,MRKU,S2,ULTRA,7.77,2.07,2019-05-28,2019-05-29,2019-06-06,0.18,0.18,-1.24,6,ts_extend
146,GAZP,S1,STRONG,5.24,2.69,2019-06-03,2019-06-04,2019-06-13,230.53,233.45,1.27,6,ts_extend
147,MRKV,S2,STRONG,6.73,1.42,2019-06-06,2019-06-07,2019-06-19,0.10,0.10,-0.48,7,max_hold
148,BISVP,S2,STRONG,5.45,1.83,2019-06-18,2019-06-19,2019-06-28,5.04,5.18,2.85,7,max_hold
149,LSNGP,S2,STRONG,5.21,1.63,2019-06-27,2019-06-28,2019-07-09,101.71,106.73,4.93,7,max_hold
150,AFLT,S1,STRONG,5.26,1.80,2019-07-04,2019-07-05,2019-07-15,110.18,108.38,-1.63,6,ts_extend
151,AFKS,S1,STRONG,6.34,2.02,2019-07-04,2019-07-05,2019-07-15,11.42,11.90,4.20,6,ts_extend
152,KRSB,S2,STRONG,6.60,1.92,2019-07-08,2019-07-09,2019-07-17,3.99,4.03,1.04,6,ts_extend
153,KAZT,S2,STRONG,5.26,1.96,2019-07-31,2019-08-01,2019-08-09,171.67,180.57,5.18,6,ts_extend
