=== ПАРАМЕТРЫ ПРОГОНА ===
Дата прогона,2026-03-18T22:55:04
Капитал,1000000
Старт,2015
OOS год,2023
Макс позиций S1,2
Макс позиций S2,2
Комиссия %,0.06
Проскальзывание %,0.10
Ребалансировка,none

--- Сигнал ---
Мин объём (млн),100
Мин VR,2.5
Макс VR,10
Дней сигнала,1
ATR мин %,1.2
ATR окно,20
MA период,50
MA фильтр,above
Bull bar,да
CP мин %,0.45
Макс дн. доходность %,10
VR подтверждение,1.5
Gap отмена %,6
Vol окно,30

--- Выход ---
Стоп-лосс %,22
Див гэп %,3
ROT множитель,1.5
ROT абс %,0.5

--- Тиры ---
ULTRA minVR,7
ULTRA maxHold,15
ULTRA TS after,6
ULTRA TS dist %,2.6
STRONG minVR,6.5
STRONG maxHold,13
STRONG TS after,6
STRONG TS dist %,1.8
BASE minVR,2.5
BASE maxHold,10
BASE TS after,5
BASE TS dist %,1.4

=== ИТОГИ ===
Всего сделок,1292
Средняя доходность %,3.41
Медианная доходность %,1.10
Win rate %,63.1
Profit factor,4.25
Sharpe,2.32
Макс просадка %,42.37
Общая доходность %,1140373965.52
CAGR %,0.00
Макс выигрыш %,125.04
Макс проигрыш %,-22.12
Ср. выигрыш %,7.08
Ср. проигрыш %,2.85
Макс серия побед,12
Макс серия потерь,8
Ср. удержание дней,4.6
Период,2015-01-05 — 2026-03-18

=== СДЕЛКИ ===
#,Ticker,Strategy,Tier,VR,ATR%,Signal,Entry,Exit,EntryPx,ExitPx,Return%,Held,Reason
89,NMTP,S2,ULTRA,8.98,4.90,2016-01-21,2016-01-22,2016-02-01,3.68,4.27,16.11,6,ts_extend
90,APTK,S2,BASE,3.11,5.50,2016-01-27,2016-01-28,2016-02-04,19.13,19.50,1.94,5,ts_extend
91,KCHE,S2,BASE,5.20,6.11,2016-01-29,2016-02-01,2016-02-08,0.12,0.12,0.34,5,ts_extend
92,MSNG,S2,BASE,4.64,2.08,2016-02-03,2016-02-04,2016-02-05,0.95,0.96,1.58,1,rotate_atr20
93,SARE,S2,BASE,2.56,6.66,2016-02-04,2016-02-05,2016-02-12,0.18,0.19,3.37,5,ts_extend
94,NKNCP,S2,ULTRA,8.19,2.98,2016-02-08,2016-02-09,2016-02-17,24.64,24.66,0.09,6,rotate_atr20
95,LNZLP,S2,ULTRA,8.94,2.51,2016-02-11,2016-02-12,2016-02-16,3530.64,3469.44,-1.73,2,rotate_atr20
96,ROST,S2,BASE,4.58,9.07,2016-02-15,2016-02-16,2016-02-22,60.40,66.25,9.69,5,ts_extend
97,MRKS,S2,ULTRA,7.15,4.71,2016-02-16,2016-02-17,2016-02-25,0.05,0.05,3.35,6,ts_extend
98,RKKE,S2,BASE,5.54,3.06,2016-02-24,2016-02-25,2016-03-03,3405.44,3396.26,-0.27,5,ts_extend
99,AFLT,S1,BASE,3.90,2.92,2016-03-01,2016-03-02,2016-03-10,61.20,67.39,10.12,5,ts_extend
100,LSRG,S2,ULTRA,9.47,1.86,2016-03-03,2016-03-04,2016-03-07,654.04,656.95,0.44,1,rotate_atr20
101,RKKE,S2,STRONG,6.86,3.30,2016-03-03,2016-03-04,2016-03-16,3435.49,3921.72,14.15,7,ts_extend
102,LSNG,S2,BASE,6.41,3.48,2016-03-04,2016-03-07,2016-03-15,2.47,2.74,10.82,5,ts_extend
103,KMEZ,S2,BASE,3.20,4.17,2016-03-14,2016-03-15,2016-03-22,395.63,413.46,4.51,5,ts_extend
104,VLHZ,S2,BASE,5.06,1.88,2016-03-15,2016-03-16,2016-03-17,137.72,138.28,0.41,1,rotate_atr20
105,VRSB,S2,BASE,2.94,3.61,2016-03-14,2016-03-17,2016-03-21,20.53,20.67,0.65,1,rotate_atr20
106,HYDR,S1,BASE,2.88,2.53,2016-03-17,2016-03-18,2016-03-25,0.70,0.69,-1.11,5,ts_extend
107,ABRD,S2,BASE,4.22,7.28,2016-03-18,2016-03-21,2016-03-28,91.65,98.44,7.42,5,ts_extend
108,KRSB,S2,ULTRA,7.32,4.10,2016-03-21,2016-03-22,2016-03-30,2.99,3.06,2.28,6,ts_extend
109,LIFE,S2,BASE,2.97,10.10,2016-03-25,2016-03-28,2016-04-04,19.13,19.64,2.66,5,ts_extend
110,KRKOP,S2,ULTRA,8.96,6.62,2016-03-29,2016-03-30,2016-04-07,2.82,2.75,-2.76,6,ts_extend
111,DVEC,S2,BASE,5.07,2.51,2016-04-04,2016-04-05,2016-04-11,0.66,0.68,2.24,4,rotate_atr20
112,MRKS,S2,ULTRA,7.34,3.63,2016-04-06,2016-04-07,2016-04-13,0.06,0.06,0.84,4,rotate_atr20
113,YKEN,S2,BASE,3.67,10.48,2016-04-08,2016-04-11,2016-04-18,0.38,0.38,-0.43,5,ts_extend
114,MTSS,S1,BASE,2.55,1.64,2016-04-11,2016-04-12,2016-04-19,250.40,251.03,0.25,5,ts_extend
115,ZVEZ,S2,BASE,3.86,6.76,2016-04-12,2016-04-13,2016-04-29,1.51,1.56,2.84,5,ts_extend
116,PLZL,S2,BASE,5.75,2.35,2016-04-15,2016-04-18,2016-04-19,415.66,428.31,3.04,1,rotate_atr20
117,SARE,S2,BASE,3.70,5.11,2016-04-18,2016-04-19,2016-04-20,0.25,0.35,39.40,1,rotate_atr20
118,GAZP,S1,BASE,3.17,2.00,2016-04-19,2016-04-20,2016-04-27,162.21,162.19,-0.01,5,ts_extend
119,MRKU,S2,BASE,5.52,8.30,2016-04-19,2016-04-20,2016-04-27,0.12,0.12,-0.49,5,ts_extend
120,TNSE,S2,BASE,5.18,2.63,2016-04-26,2016-04-27,2016-05-06,1677.68,1703.05,1.51,5,ts_extend
121,TTLK,S2,BASE,2.51,1.87,2016-04-29,2016-05-04,2016-05-05,0.16,0.16,0.62,1,rotate_atr20
122,KROTP,S2,ULTRA,9.88,3.76,2016-05-04,2016-05-05,2016-05-16,92.65,90.44,-2.39,6,ts_extend
