=== ПАРАМЕТРЫ ПРОГОНА ===
Дата прогона,2026-03-18T23:24:43
Капитал,1000000
Старт,2015
OOS год,2023
Макс позиций S1,2
Макс позиций S2,2
Комиссия %,0.06
Проскальзывание %,0.10
Ребалансировка,none

--- Сигнал ---
Мин объём (млн),100
Мин VR,2
Макс VR,10
Дней сигнала,1
ATR мин %,1.3
ATR окно,20
MA период,50
MA фильтр,above
Bull bar,да
CP мин %,0.55
Макс дн. доходность %,10
VR подтверждение,2
Gap отмена %,6
Vol окно,30

--- Выход ---
Стоп-лосс %,28
Див гэп %,3
ROT множитель,1.5
ROT абс %,0.5

--- Тиры ---
ULTRA minVR,7.1
ULTRA maxHold,10
ULTRA TS after,6
ULTRA TS dist %,1.8
STRONG minVR,5.1
STRONG maxHold,7
STRONG TS after,6
STRONG TS dist %,1.6
BASE minVR,2
BASE maxHold,5
BASE TS after,5
BASE TS dist %,1.4

=== ИТОГИ ===
Всего сделок,1184
Средняя доходность %,4.08
Медианная доходность %,1.36
Win rate %,65.4
Profit factor,5.84
Sharpe,2.52
Макс просадка %,44.75
Общая доходность %,31716217576.87
CAGR %,0.00
Макс выигрыш %,182.78
Макс проигрыш %,-28.12
Ср. выигрыш %,7.53
Ср. проигрыш %,2.44
Макс серия побед,17
Макс серия потерь,5
Ср. удержание дней,4.6
Период,2015-01-05 — 2026-03-18

=== СДЕЛКИ ===
#,Ticker,Strategy,Tier,VR,ATR%,Signal,Entry,Exit,EntryPx,ExitPx,Return%,Held,Reason
79,PMSB,S2,BASE,2.58,4.84,2015-12-24,2015-12-25,2016-01-11,48.18,47.74,-0.90,5,ts_extend
80,WTCM,S2,ULTRA,9.46,5.32,2015-12-28,2015-12-29,2016-01-15,9.06,9.56,5.46,6,ts_extend
81,KROT,S2,BASE,4.99,3.67,2016-01-12,2016-01-13,2016-01-21,122.20,123.05,0.70,5,ts_extend
82,AFKS,S1,STRONG,5.55,2.65,2016-01-14,2016-01-15,2016-01-25,17.64,17.68,0.23,6,ts_extend
83,GMKN,S2,BASE,2.40,2.98,2016-01-21,2016-01-22,2016-01-29,91.15,90.22,-1.01,5,ts_extend
84,ABRD,S2,BASE,3.05,4.65,2016-01-28,2016-01-29,2016-02-08,113.18,118.13,4.37,5,ts_extend
85,NKNCP,S2,ULTRA,8.19,2.98,2016-02-08,2016-02-09,2016-02-16,24.64,24.76,0.49,5,rotate_atr20
86,MAGE,S2,BASE,4.23,4.94,2016-02-05,2016-02-09,2016-02-18,3.02,3.19,5.62,5,max_hold
87,ROST,S2,BASE,4.58,9.07,2016-02-15,2016-02-16,2016-02-22,60.40,66.25,9.69,5,ts_extend
88,GAZA,S2,BASE,3.30,2.85,2016-02-18,2016-02-19,2016-03-01,450.72,459.26,1.90,4,rotate_atr20
89,RKKE,S2,STRONG,5.54,3.06,2016-02-24,2016-02-25,2016-03-02,3405.44,3324.67,-2.37,4,rotate_atr20
90,VRSB,S2,BASE,4.62,6.92,2016-02-24,2016-03-01,2016-03-10,20.23,20.43,0.96,5,ts_extend
91,AFLT,S1,BASE,3.90,2.92,2016-03-01,2016-03-02,2016-03-10,61.20,67.39,10.12,5,ts_extend
92,VGSBP,S2,BASE,2.11,5.78,2016-03-01,2016-03-02,2016-03-10,1.19,1.25,4.48,5,ts_extend
93,LNZLP,S2,BASE,4.29,1.97,2016-03-09,2016-03-10,2016-03-11,3956.32,4178.30,5.61,1,rotate_atr20
94,VRSBP,S2,STRONG,6.31,4.59,2016-03-09,2016-03-10,2016-03-24,20.33,20.67,1.64,7,max_hold
95,TGKN,S2,STRONG,6.50,3.51,2016-03-10,2016-03-11,2016-03-21,0.00,0.00,3.01,6,ts_extend
96,CHMF,S1,BASE,2.13,2.09,2016-03-14,2016-03-15,2016-03-22,652.04,709.86,8.87,5,max_hold
97,ABRD,S2,BASE,4.22,7.28,2016-03-18,2016-03-21,2016-03-28,91.65,98.44,7.42,5,ts_extend
98,ALRS,S1,BASE,2.33,2.31,2016-03-21,2016-03-22,2016-03-29,70.96,70.34,-0.88,5,ts_extend
