=== ПАРАМЕТРЫ ПРОГОНА ===
Дата прогона,2026-03-18T23:31:05
Капитал,1000000
Старт,2015
OOS год,2023
Макс позиций S1,2
Макс позиций S2,2
Комиссия %,0.06
Проскальзывание %,0.10
Ребалансировка,none

--- Сигнал ---
Мин объём (млн),100
Мин VR,3.6
Макс VR,10
Дней сигнала,1
ATR мин %,1.3
ATR окно,20
MA период,50
MA фильтр,above
Bull bar,да
CP мин %,0.55
Макс дн. доходность %,10
VR подтверждение,2
Gap отмена %,6
Vol окно,30

--- Выход ---
Стоп-лосс %,28
Див гэп %,3
ROT множитель,1.5
ROT абс %,0.5

--- Тиры ---
ULTRA minVR,7.1
ULTRA maxHold,10
ULTRA TS after,6
ULTRA TS dist %,1.8

=== ИТОГИ ===
Всего сделок,256
Средняя доходность %,5.70
Медианная доходность %,2.54
Win rate %,69.9
Profit factor,8.86
Sharpe,2.62
Макс просадка %,37.53
Общая доходность %,434541.46
CAGR %,0.00
Макс выигрыш %,126.89
Макс проигрыш %,-28.12
Ср. выигрыш %,9.19
Ср. проигрыш %,2.41
Макс серия побед,10
Макс серия потерь,4
Ср. удержание дней,6.0
Период,2015-01-05 — 2026-03-18

=== СДЕЛКИ ===
#,Ticker,Strategy,Tier,VR,ATR%,Signal,Entry,Exit,EntryPx,ExitPx,Return%,Held,Reason
87,KRKN,S2,ULTRA,9.11,4.95,2020-05-22,2020-05-25,2020-06-02,15875.36,16128.05,1.59,6,ts_extend
88,VSMO,S2,ULTRA,8.51,2.26,2020-06-09,2020-06-10,2020-06-19,20452.67,24059.72,17.64,6,ts_extend
89,KAZTP,S2,ULTRA,7.53,3.03,2020-07-07,2020-07-08,2020-07-16,153.04,151.18,-1.22,6,ts_extend
90,LNZLP,S2,ULTRA,8.05,2.09,2020-07-07,2020-07-08,2020-07-16,3926.27,4333.50,10.37,6,ts_extend
91,IGST,S2,ULTRA,7.96,3.99,2020-07-15,2020-07-16,2020-07-24,1121.79,1456.92,29.87,6,ts_extend
92,URKZ,S2,ULTRA,8.27,4.27,2020-07-15,2020-07-16,2020-07-24,162.06,184.52,13.86,6,ts_extend
93,RUSI,S2,ULTRA,8.55,3.94,2020-07-24,2020-07-27,2020-07-30,40.66,29.23,-28.12,3,cat_stop
94,ABRD,S2,ULTRA,9.79,2.59,2020-08-07,2020-08-10,2020-08-13,262.92,232.63,-11.52,3,rotate_atr20
95,SARE,S2,ULTRA,7.74,2.85,2020-08-07,2020-08-10,2020-08-18,0.14,0.20,36.79,6,ts_extend
96,YKEN,S2,ULTRA,9.18,4.27,2020-08-12,2020-08-13,2020-08-21,0.47,0.47,-0.55,6,ts_extend
97,YRSB,S2,ULTRA,8.06,2.16,2020-10-12,2020-10-13,2020-10-21,176.28,176.48,0.11,6,ts_extend
98,MRKP,S2,ULTRA,9.56,2.04,2020-10-22,2020-10-23,2020-11-02,0.23,0.23,-0.95,6,ts_extend
99,IGSTP,S2,ULTRA,7.36,4.72,2020-11-16,2020-11-17,2020-11-25,849.36,963.76,13.47,6,ts_extend
100,LVHK,S2,ULTRA,7.59,2.30,2020-12-04,2020-12-07,2020-12-15,8.27,9.31,12.58,6,ts_extend
101,MRKU,S2,ULTRA,7.24,2.53,2020-12-28,2020-12-29,2021-01-11,0.17,0.17,0.26,6,ts_extend
102,KRKN,S2,ULTRA,7.28,2.46,2021-01-08,2021-01-11,2021-01-18,12720.32,13728.00,7.92,5,rotate_atr20
103,GAZAP,S2,ULTRA,8.39,2.51,2021-01-08,2021-01-11,2021-01-19,426.68,450.51,5.58,6,ts_extend
104,VJGZP,S2,ULTRA,7.55,5.39,2021-01-15,2021-01-18,2021-01-26,885.41,1390.25,57.02,6,ts_extend
105,PIKK,S2,ULTRA,8.57,1.42,2021-01-18,2021-01-19,2021-01-22,642.43,652.95,1.64,3,rotate_atr20
106,CHMK,S2,ULTRA,9.07,3.63,2021-01-21,2021-01-22,2021-02-01,3099.95,3103.06,0.10,6,ts_extend
107,SMLT,S2,ULTRA,9.95,1.47,2021-02-04,2021-02-05,2021-02-15,1007.01,1110.04,10.23,6,ts_extend
108,MVID,S1,ULTRA,9.82,2.15,2021-02-08,2021-02-09,2021-02-17,795.47,821.70,3.30,6,ts_extend
109,TGKN,S2,ULTRA,7.81,2.13,2021-02-19,2021-02-20,2021-03-02,0.00,0.00,-1.14,6,ts_extend
110,AQUA,S2,ULTRA,9.16,1.67,2021-03-16,2021-03-17,2021-03-25,271.43,274.52,1.14,6,ts_extend
111,TNSE,S2,ULTRA,9.61,1.91,2021-03-29,2021-03-30,2021-04-07,1021.63,1019.65,-0.19,6,ts_extend
112,VTBR,S1,ULTRA,8.04,1.73,2021-03-31,2021-04-01,2021-04-09,213.24,220.50,3.40,6,ts_extend
113,KUZB,S2,ULTRA,7.20,4.82,2021-04-09,2021-04-12,2021-04-20,0.02,0.02,0.46,6,ts_extend
114,PRMB,S2,ULTRA,9.61,4.62,2021-05-06,2021-05-07,2021-05-17,34054.40,60198.33,76.77,6,ts_extend
115,MISB,S2,ULTRA,8.42,2.84,2021-05-18,2021-05-19,2021-05-27,14.82,14.53,-1.96,6,ts_extend
116,RNFT,S2,ULTRA,7.70,2.93,2021-06-04,2021-06-07,2021-06-15,179.09,178.24,-0.47,6,ts_extend
117,KAZTP,S2,ULTRA,8.84,2.63,2021-06-15,2021-06-16,2021-06-24,261.42,316.68,21.14,6,ts_extend
118,SMLT,S2,ULTRA,7.73,3.35,2021-07-21,2021-07-22,2021-07-30,2425.88,2548.13,5.04,6,ts_extend
119,JNOS,S2,ULTRA,7.17,1.61,2021-07-30,2021-08-02,2021-08-10,20.28,19.89,-1.96,6,ts_extend
120,BLNG,S2,ULTRA,9.08,2.29,2021-08-19,2021-08-20,2021-08-30,8.31,9.71,16.76,6,ts_extend
121,KMAZ,S2,ULTRA,9.91,1.97,2021-08-27,2021-08-30,2021-09-07,94.55,135.01,42.79,6,ts_extend
122,HIMCP,S2,ULTRA,9.79,3.00,2021-09-08,2021-09-09,2021-09-17,9.47,13.32,40.77,6,ts_extend
123,RTSB,S2,ULTRA,8.98,4.45,2021-09-21,2021-09-22,2021-09-30,0.62,0.64,2.64,6,ts_extend
124,MRKV,S2,ULTRA,9.87,2.07,2021-10-08,2021-10-11,2021-10-19,0.06,0.07,12.98,6,ts_extend
125,OMZZP,S2,ULTRA,7.26,2.85,2021-10-20,2021-10-21,2021-10-29,4567.30,6225.72,36.31,6,ts_extend
126,KCHE,S2,ULTRA,8.91,2.47,2021-10-20,2021-10-21,2021-10-29,0.26,0.29,13.00,6,ts_extend
127,BELU,S1,ULTRA,7.26,3.41,2021-10-21,2021-10-22,2021-11-01,3826.11,4078.58,6.60,6,ts_extend
128,DZRD,S2,ULTRA,8.15,2.79,2021-11-17,2021-11-18,2021-11-26,2418.86,2371.52,-1.96,6,ts_extend
129,VSMO,S2,ULTRA,9.78,3.48,2021-11-17,2021-11-18,2021-11-26,45572.80,46570.37,2.19,6,ts_extend
130,LSRG,S1,ULTRA,7.52,3.91,2022-01-11,2022-01-12,2022-01-20,714.94,712.97,-0.28,6,ts_extend
131,BLNG,S2,ULTRA,8.18,6.86,2022-01-12,2022-01-13,2022-01-21,13.59,14.51,6.76,6,ts_extend
132,MFGS,S2,ULTRA,8.12,2.48,2022-01-25,2022-01-26,2022-02-03,355.57,392.17,10.29,6,ts_extend
133,CHKZ,S2,ULTRA,8.96,5.80,2022-02-03,2022-02-04,2022-02-14,6870.98,7333.61,6.73,6,ts_extend
134,IGST,S2,ULTRA,7.49,8.23,2022-02-11,2022-02-14,2022-02-22,2814.50,4857.04,72.57,6,ts_extend
135,OGKB,S2,ULTRA,7.82,5.14,2022-05-31,2022-06-01,2022-06-09,0.63,0.63,0.86,6,ts_extend
136,HYDR,S1,ULTRA,9.03,2.41,2022-06-03,2022-06-06,2022-06-15,0.82,0.82,-0.32,6,ts_extend
137,AKRN,S1,ULTRA,8.11,4.65,2022-06-20,2022-06-21,2022-06-29,17427.84,18334.02,5.20,6,ts_extend
138,LSRG,S2,ULTRA,9.45,3.32,2022-06-24,2022-06-27,2022-07-05,611.98,656.89,7.34,6,ts_extend
139,GEMA,S2,ULTRA,9.42,1.53,2022-08-02,2022-08-03,2022-08-11,68.16,68.09,-0.10,6,ts_extend
140,HYDR,S1,ULTRA,7.20,2.86,2022-08-12,2022-08-15,2022-08-24,0.79,0.80,2.30,7,ts_extend
141,TUZA,S2,ULTRA,7.42,3.07,2022-08-15,2022-08-16,2022-08-24,92.65,93.14,0.53,6,ts_extend
142,MGTSP,S2,ULTRA,9.43,4.19,2022-08-26,2022-08-29,2022-09-06,1091.74,1115.73,2.20,6,ts_extend
143,SNGS,S1,ULTRA,8.25,2.54,2022-09-02,2022-09-05,2022-09-13,27.39,26.85,-1.96,6,ts_extend
144,NNSBP,S2,ULTRA,7.79,2.35,2022-09-05,2022-09-06,2022-09-14,577.92,696.10,20.45,6,ts_extend
145,MSRS,S2,ULTRA,9.49,2.72,2022-09-14,2022-09-15,2022-09-23,1.12,1.12,-0.37,6,ts_extend
